sender,total_sent
carNoIp[7],621
carNoIp[14],635
carNoIp[5],653
carNoIp[3],710
carNoIp[51],637
carNoIp[36],674
carNoIp[18],754
carNoIp[52],671
carNoIp[10],784
carNoIp[19],759
carNoIp[67],642
carNoIp[15],785
carNoIp[100],567
carNoIp[27],757
carNoIp[9],825
carNoIp[20],797
carNoIp[31],775
carNoIp[24],804
carNoIp[76],677
carNoIp[11],881
carNoIp[49],835
carNoIp[23],919
carNoIp[91],770
carNoIp[6],973
carNoIp[113],699
carNoIp[25],932
carNoIp[22],964
carNoIp[118],717
carNoIp[17],980
carNoIp[13],999
carNoIp[26],966
carNoIp[66],878
carNoIp[101],805
carNoIp[105],805
carNoIp[54],948
carNoIp[154],698
carNoIp[61],939
carNoIp[38],998
carNoIp[30],1033
carNoIp[43],1033
carNoIp[102],908
carNoIp[136],829
carNoIp[0],1155
carNoIp[99],935
carNoIp[8],1169
carNoIp[219],670
carNoIp[2],1199
carNoIp[55],1091
carNoIp[82],1009
carNoIp[96],991
carNoIp[32],1147
carNoIp[135],912
carNoIp[12],1216
carNoIp[39],1144
carNoIp[68],1074
carNoIp[169],839
carNoIp[112],968
carNoIp[16],1225
carNoIp[108],993
carNoIp[155],886
carNoIp[172],853
carNoIp[92],1056
carNoIp[139],946
carNoIp[111],1010
carNoIp[28],1214
carNoIp[80],1080
carNoIp[57],1160
carNoIp[95],1073
carNoIp[59],1162
carNoIp[89],1103
carNoIp[40],1213
carNoIp[127],1045
carNoIp[50],1246
carNoIp[4],1352
carNoIp[46],1254
carNoIp[159],976
